native_index,energy_eV,doppler_x,support,Aup_s_inv,Adn_s_inv,Gamma_s_inv,Tvr_2s_s_inv,Tvr_2p_s_inv,Trv_2s_s_inv,Trv_2p_s_inv
240,1.08833339999999996e+01,2.85871866335230743e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.57861475965865666e-01,-9.89242805102510600e-03,-4.38427807492545562e-04,-1.39335608051025100e-01,-1.85258679148405693e-02
241,1.09429759999999998e+01,3.10776168937838793e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.71138565786852104e-01,-8.61300982576705849e-03,-3.45551465568214120e-04,-1.52753309825767070e-01,-1.83852559610850445e-02
242,1.10006869999999992e+01,3.34874157058610990e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.85326064399570001e-01,-7.52870825795834246e-03,-2.77470693137628441e-04,-1.66875468257958348e-01,-1.84505961416116630e-02
243,1.10565490000000004e+01,3.58200070877512371e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.00453329076802828e-01,-6.60907198671871823e-03,-2.26304150992963880e-04,-1.81780091986718739e-01,-1.86732370900840987e-02
244,1.11106160000000003e+01,3.80776458805737457e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.16584906492844731e-01,-5.82888380634183616e-03,-1.87036824572235595e-04,-1.97566413806341823e-01,-1.90184926865028976e-02
245,1.11629690000000004e+01,4.02637143460080642e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.33820425527012737e-01,-5.16610760934072769e-03,-1.56362067486867174e-04,-2.14356687609340707e-01,-1.94637379176720270e-02
246,1.12136910000000007e+01,4.23816782583676286e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.52294632062759649e-01,-4.60223671678641148e-03,-1.32032498819493034e-04,-2.32301316716786416e-01,-1.99933153459732581e-02
247,1.12628350000000008e+01,4.44337507024549632e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.72179016072469360e-01,-4.12231105976234354e-03,-1.12479946077416880e-04,-2.51585031059762376e-01,-2.05939850127069869e-02
248,1.13104829999999996e+01,4.64233556962664261e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.93691893565142748e-01,-3.71334456287532051e-03,-9.65863132877132493e-05,-2.72433424562875282e-01,-2.12584690022674591e-02
249,1.13566900000000004e+01,4.83527898372387699e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.17104408128613235e-01,-3.36493339054606908e-03,-8.35377472386705403e-05,-2.95124173390546030e-01,-2.19802347380672267e-02
250,1.14015100000000000e+01,5.02243079664914512e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.42755532460502943e-01,-3.06842982235152164e-03,-7.27321195352382421e-05,-3.20000279822351574e-01,-2.27552526381513930e-02
251,1.14450249999999993e+01,5.20413341020208918e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.71073468876164325e-01,-2.81637402894572252e-03,-6.37178502744656226e-05,-3.47488644028945692e-01,-2.35848248472186398e-02
252,1.14872340000000008e+01,5.38038264875101686e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.02592278529650183e-01,-2.60353220607576711e-03,-5.61500033158574317e-05,-3.78127232206075803e-01,-2.44650463235743798e-02
253,1.15282190000000000e+01,5.55152091409555032e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.38002944793145776e-01,-2.42483835360797224e-03,-4.97651689561879164e-05,-4.12599498353608041e-01,-2.54034464395377600e-02
254,1.15680080000000007e+01,5.71766512392338791e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.78193668393803062e-01,-2.27679543770260753e-03,-4.43586191820749814e-05,-4.51787265437702590e-01,-2.64064029561004825e-02
255,1.16066810000000000e+01,5.87914932877075080e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,5.24336700816759871e-01,-2.15634876033197077e-03,-3.97729182187389225e-05,-4.96844458760331953e-01,-2.74922420564279388e-02
256,1.16442399999999999e+01,6.03598187990105271e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,5.77988257564587826e-01,-2.06202377481705564e-03,-3.58848219669627666e-05,-5.49309803774816974e-01,-2.86784537897708004e-02
257,1.16807649999999992e+01,6.18849682785052391e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,6.41276046333812078e-01,-1.99261319688942302e-03,-3.26031548709329448e-05,-6.11271173196889395e-01,-3.00048731369227349e-02
258,1.17162559999999996e+01,6.33669417261917170e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,7.17150952214251736e-01,-1.94862155200361165e-03,-2.98604853031168986e-05,-6.85631311552003631e-01,-3.15196406622481398e-02
