left_index,right_index,left_x,right_x,midpoint_x,forward_abs_s_inv,reverse_abs_s_inv,classification,current_owner,required_owner
135,136,-2.42585576691230074e+01,-1.79450025342948329e+01,-2.11017801017089184e+01,8.97172495894012201e+01,8.91946610995723006e+01,CROSS_INTERFACE,SPLIT_DOMAIN_INTERFACE_DECLARED_BUT_NATIVE_EDGE_STILL_PRESENT,SPLIT_DOMAIN_INTERFACE
136,137,-1.79450025342948329e+01,-1.23997636328016902e+01,-1.51723830835482616e+01,1.98368748839963359e+02,1.97353534697768794e+02,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
137,138,-1.23997636328016902e+01,-7.62284096465099825e+00,-1.00113022987263438e+01,5.14041052737126620e+02,5.11773985456637888e+02,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
138,139,-7.62284096465099825e+00,-3.61841016154255923e+00,-5.62062556309677852e+00,1.84854636326643390e+03,1.84170969287706589e+03,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
140,141,3.61795957963206494e+00,7.62656601444030802e+00,5.62226279703618648e+00,1.84054388228362200e+03,1.83372972335794134e+03,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
141,142,7.62656601444030802e+00,1.23993130508911964e+01,1.00129395326657527e+01,5.15328833593566628e+02,5.13058069116383535e+02,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
142,143,1.23993130508911964e+01,1.79445519523769228e+01,1.51719325016340605e+01,1.97409313485581947e+02,1.96399009554024161e+02,INSIDE_INTERIOR,ORIGINAL_HYREC_NATIVE_AND_COM_OVERLAP,COM_KHW_INTERIOR
143,144,1.79445519523769228e+01,2.42581070872050972e+01,2.11013295197910082e+01,9.01996187638816309e+01,8.96742205515123345e+01,CROSS_INTERFACE,SPLIT_DOMAIN_INTERFACE_DECLARED_BUT_NATIVE_EDGE_STILL_PRESENT,SPLIT_DOMAIN_INTERFACE
144,145,2.42581070872050972e+01,3.13399784553757215e+01,2.77990427712904093e+01,4.68494516987161873e+01,4.65434609866605058e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
145,146,3.13399784553757215e+01,3.91943416885811828e+01,3.52671600719784522e+01,2.60996964899063464e+01,2.59107028876386991e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
146,147,3.91943416885811828e+01,4.78170211551290905e+01,4.35056814218551366e+01,1.58504556932415532e+01,1.57244963227083510e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
147,148,4.78170211551290905e+01,5.72080168550194514e+01,5.25125190050742674e+01,9.84326535521702084e+00,9.75810388259397143e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
148,149,5.72080168550194514e+01,6.73715044199446424e+01,6.22897606374820469e+01,6.61299225780558775e+00,6.55109404294648812e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
149,150,6.73715044199446424e+01,7.83033082182122939e+01,7.28374063190784682e+01,4.37602828607478234e+00,4.33198748837750980e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
150,151,7.83033082182122939e+01,9.00034282498223916e+01,8.41533682340173357e+01,3.17784076509546143e+00,3.14362300534383632e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
151,152,9.00034282498223916e+01,1.02476040146467312e+02,9.62397341981448449e+01,2.18020764477556916e+00,2.15519097661989845e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
152,153,1.02476040146467312e+02,1.15716968276454693e+02,1.09096504211460996e+02,1.69003393395931978e+00,1.66945447339907571e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
153,154,1.15716968276454693e+02,1.29726212639784535e+02,1.22721590458119607e+02,1.18082581628446004e+00,1.16561800779527336e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
154,155,1.29726212639784535e+02,1.44507948868149185e+02,1.37117080753966860e+02,9.72165364095588402e-01,9.58959196353435961e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
155,156,1.44507948868149185e+02,1.60058001329856324e+02,1.52282975099002755e+02,6.80339289424266247e-01,6.70620445333096282e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
156,157,1.60058001329856324e+02,1.76380545656605676e+02,1.68219273493231015e+02,5.95471146305461940e-01,5.86545268173621626e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
157,158,1.76380545656605676e+02,1.93467230584990290e+02,1.84923888120797983e+02,4.11449763229876253e-01,4.04995838990542312e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
158,159,1.93467230584990290e+02,2.11326407378417144e+02,2.02396818981703717e+02,3.84371697687809211e-01,3.78072180294425741e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
159,160,2.11326407378417144e+02,2.29958076036886240e+02,2.20642241707651692e+02,2.57957346667966880e-01,2.53548354587137759e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
160,161,2.29958076036886240e+02,2.49353885296990569e+02,2.39655980666938405e+02,2.59299074025898357e-01,2.54687008682123628e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
161,162,2.49353885296990569e+02,2.69522186422137167e+02,2.59438035859563854e+02,1.66475052099302995e-01,1.63397181770351202e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
162,163,2.69522186422137167e+02,2.90462979412325979e+02,2.79992582917231573e+02,1.81633609784269651e-01,1.78148098765325780e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
163,164,2.90462979412325979e+02,3.12167913004150080e+02,3.01315446208238029e+02,1.09617922322893413e-01,1.07438385952957335e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
164,165,3.12167913004150080e+02,3.34649514092716174e+02,3.23408713548433127e+02,1.31714602875260295e-01,1.29002977199607488e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
165,166,3.34649514092716174e+02,3.57895255782924949e+02,3.46272384937820561e+02,7.30612846694862900e-02,7.15065857664004545e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
166,167,3.57895255782924949e+02,3.81913489338168574e+02,3.69904372560546790e+02,9.85478714874919309e-02,9.63819174037265358e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
167,168,3.81913489338168574e+02,4.06700039126754632e+02,3.94306764232461603e+02,4.89043611633161179e-02,4.77955162465693792e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
168,169,4.06700039126754632e+02,4.32254905148675732e+02,4.19477472137715154e+02,7.58486751805296511e-02,7.40762211713221763e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
169,170,4.32254905148675732e+02,4.58582263035646520e+02,4.45418584092161154e+02,3.25373116107371546e-02,3.17542648098747896e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
170,171,4.58582263035646520e+02,4.85677937155952293e+02,4.72130100095799435e+02,5.99110210086040776e-02,5.84276433975986706e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
171,172,4.85677937155952293e+02,5.13541927509593165e+02,4.99609932332772701e+02,2.12048403682863033e-02,2.06651189687166656e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
172,173,5.13541927509593165e+02,5.42178409728276165e+02,5.27860168618934722e+02,4.84982843904357766e-02,4.72300987652550172e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
173,174,5.42178409728276165e+02,5.71583208180301767e+02,5.56880808954289023e+02,1.31862749737720227e-02,1.28323400354298563e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
174,175,5.71583208180301767e+02,6.01756322865669745e+02,5.86669765522985699e+02,4.01862524676459207e-02,3.90798144533559891e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
175,176,6.01756322865669745e+02,6.32701929416072517e+02,6.17229126140871131e+02,7.40928044916254643e-03,7.20013424396050237e-03,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
176,177,6.32701929416072517e+02,6.64415852199817778e+02,6.48558890807945090e+02,3.40198670859499716e-02,3.30360736841996822e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
177,178,6.64415852199817778e+02,6.96898091216898138e+02,6.80656971708358014e+02,3.17055417136344287e-03,3.07667940807509121e-03,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
178,179,6.96898091216898138e+02,7.30152822099028072e+02,7.13525456657963105e+02,2.93950288277680487e-02,2.85043100217057845e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
