i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
6,15,-1.0,3.5,4.128152462263635e-07,4.123452122889638e-07,4.977182223157565e-07,-1.4014827324395293e-09,-0.002815815595255456,5.983951040603067e-10,2.3420691829361737
6,16,-1.0,4.0,1.807565268231218e-08,1.8078580875963448e-08,2.180266749460909e-08,-9.934388904153626e-11,-0.0045565015870695615,3.4447200792070833e-12,28.839466417371003
7,8,-0.5,0.0,0.17292283772031572,0.1728270840954345,0.20882351583882608,2.3897314806148318e-05,0.00011443785298870609,3.968090336151619e-05,0.6022371665390234
7,9,-0.5,0.5,0.15267423587262985,0.1525986563760489,0.18433599142578433,-7.073770566559667e-05,-0.000383743321737993,3.694158142112592e-05,1.914853207262633
7,10,-0.5,1.0,0.05754953755391108,0.05746429095269172,0.0694346770041996,1.1388387977068204e-05,0.00016401585588681291,2.0298837571908952e-05,0.5610364601778136
7,11,-0.5,1.5,0.012070720096646167,0.012049029277828386,0.014558065418034831,5.937697973284334e-07,4.0786311936259e-05,5.924317461103271e-06,0.10022585744718972
7,12,-0.5,2.0,0.001702837868981034,0.001700882995842633,0.0020539485013351933,-2.1537548603447684e-06,-0.001048592434983007,1.6350994762012548e-06,1.3172011193768343
7,13,-0.5,2.5,0.00015782962533783816,0.0001576663891427543,0.00019034179383542346,-3.049128416641718e-07,-0.0016019227071475994,1.2429235334397608e-07,2.4531906707111166
7,14,-0.5,3.0,9.691571352478774e-06,9.690151519321707e-06,1.1690621978089848e-05,-3.424946101745585e-08,-0.0029296525951865507,3.34582777607686e-09,10.236468613938925
7,15,-0.5,3.5,4.6323512371213067e-07,4.6367255027359287e-07,5.589678844115358e-07,-2.4926916625811852e-09,-0.0044594541691879395,7.53348788274227e-10,3.308814856251974
7,16,-0.5,4.0,3.450456618316741e-08,3.425734459392708e-08,4.145716679586578e-08,1.3413916130399243e-10,0.0032356085008049596,2.954439138489921e-10,0.45402580664617753
8,9,0.0,0.5,0.17272639060537415,0.1726193828264994,0.20848777927756867,3.758241655582584e-05,0.00018026196396763746,3.3103729271628225e-05,1.1352925299578287
8,10,0.0,1.0,0.05337087039644742,0.053322788370695866,0.06439759015208568,1.442884257074617e-06,2.240587347549814e-05,1.7771976872617563e-05,0.08118873141781781
8,11,0.0,1.5,0.011454876967365718,0.01143077174412205,0.01381015795164356,1.0885498321629161e-05,0.0007882240275415291,6.1803177487990955e-06,1.7613169361307248
8,12,0.0,2.0,0.001641166601476439,0.0016371893676157881,0.0019778621180342962,1.3223009427904345e-06,0.0006685506187380781,2.5719796258041877e-06,0.514117969490908
8,13,0.0,2.5,0.00015454695126390622,0.00015465005546222945,0.0001865007041199721,-5.34170895742902e-07,-0.002864176295008949,5.346222279159377e-08,9.991557923530507
8,14,0.0,3.0,9.945451286703869e-06,9.941887924377101e-06,1.1992957752892334e-05,-2.7324272466090567e-08,-0.0022783597698825203,6.114625327469518e-09,4.4686748578589475
8,15,0.0,3.5,5.99752991338569e-07,5.985900823927498e-07,7.22495184759655e-07,-8.20253846832354e-10,-0.001135307008454623,9.302555140701715e-10,0.8817511258207712
8,16,0.0,4.0,7.380730513846425e-08,7.389076029455981e-08,8.902959638109912e-08,-4.136041398736599e-10,-0.004645692631281743,3.7732675210771454e-10,1.096143163884625
