target_i,source_j,x_i,x_j,base_symmetric_rate_s^-1,completed_i_from_j_s^-1,completed_j_from_i_s^-1,Pi_i_m^-3,Pi_j_m^-3,conductance_i_j_m^-3_s^-1,relative_balance_residual,log_rate_ratio,log_Pi_ratio
4,10,-2.0,1.0,0.0018947264487320739,0.0018972260172057615,0.0018922301734045363,1.2098048013426892,1.2066190998170574,0.002289229149030317,-1.8944406206687625e-16,0.0026367090391281557,0.0026367090391283773
4,11,-2.0,1.5,0.0022147045594731445,0.0022181135749317375,0.0022113007833253462,1.2098048013426892,1.206088964566291,0.0026752423048798536,0.0,0.003076161509258538,0.003076161509258317
4,12,-2.0,2.0,0.0016342478445779984,0.0016371230633845436,0.0016313776754121126,1.2098048013426892,1.2055590619049625,0.001973648544516849,0.0,0.003515614251980253,0.003515614251980253
4,13,-2.0,2.5,0.0002222154728631806,0.00022265534622552114,0.00022177646850568626,1.2098048013426892,1.205029391709487,0.000268306236423005,2.0204565256101205e-16,0.003955067285288963,0.003955067285288963
4,14,-2.0,3.0,1.2204938494943409e-05,1.2231785405573168e-05,1.2178150509203719e-05,1.2098048013426892,1.2044999539311483,1.4733184957508572e-05,-1.1498300600952154e-16,0.004394520565089669,0.004394520565089669
4,15,-2.0,3.5,4.371006249387835e-07,4.3815836926177454e-07,4.3604543408305756e-07,1.2098048013426892,1.2039707483986715,5.275298597572402e-07,0.0,0.004833974149043733,0.004833974149043733
4,16,-2.0,4.0,1.076099023409444e-08,1.0789401327001523e-08,1.0732653954439335e-08,1.2098048013426892,1.2034417750997495,1.2984416285230306e-08,-1.2741128971564789e-16,0.005273427962855492,0.005273427962855492
5,6,-1.5,-1.0,0.014019490956375476,0.014022571735229307,0.014016410854373119,1.209273268416411,1.2087419686898015,0.01694967096533504,0.0,0.0004394511060199421,0.0004394511060199421
5,7,-1.5,-0.5,0.01209807015558555,0.012103387835727944,0.012092754811790837,1.209273268416411,1.2082109020951715,0.014623445135412584,0.0,0.0008789024578404004,0.0008789024578406223
5,8,-1.5,0.0,0.011452206809057116,0.011459758329660993,0.011444660264602106,1.209273268416411,1.2076800684591948,0.013839721724090816,0.0,0.001318354114384287,0.0013183541143840653
5,9,-1.5,0.5,0.01207683253654158,0.012087451566854064,0.012066222835226537,1.209273268416411,1.2071494677511034,0.014591360725395125,-1.1888702559163354e-16,0.0017578060166190995,0.0017578060166190995
5,10,-1.5,1.0,0.01396036684068097,0.013975712534059959,0.013945037997269719,1.209273268416411,1.2066190998170574,0.016863361677149392,0.0,0.0021972582074442863,0.0021972582074442863
5,11,-1.5,1.5,0.011421641618239126,0.011436709330561354,0.011406593757427336,1.209273268416411,1.206088964566291,0.013793688914542385,1.2576211387136084e-16,0.0026367106775742667,0.0026367106775742667
5,12,-1.5,2.0,0.002214704559473144,0.002218113577051186,0.002211300781212406,1.209273268416411,1.2055590619049625,0.0026740669231484888,-1.6218026005257152e-16,0.0030761634202961102,0.0030761634202961102
5,13,-1.5,2.5,0.00019180360861934773,0.00019214105908021696,0.00019146675081063776,1.209273268416411,1.205029391709487,0.00023153562354585045,1.1706645352035886e-16,0.003515616453604802,0.003515616453604802
5,14,-1.5,3.0,1.0886758469565436e-05,1.0908308715182476e-05,1.0865250798200582e-05,1.209273268416411,1.2044999539311483,1.3139057344904035e-05,0.0,0.003955069733405493,0.003955069733405493
5,15,-1.5,3.5,4.1009217163333646e-07,4.1099424211810597e-07,4.09192081057471e-07,1.209273268416411,1.2039707483986715,4.948250452704808e-07,0.0,0.0043945233173593055,0.004394523317359527
