META,temperature_K,3000
META,nH_cm3,250
META,H_s_inv,5.0000000000000002e-14
META,xe,0.5
META,xHII,0.5
Trv,1,71,-0.00016294368698569294
Tvr,1,71,-0.00031322251767243806
Tvv,0,71,9.7661904609894918
Tvv,1,71,0
Tvv,2,71,0
sv,72,0,2.4953841793949804e-55
Dtau,72,0,0.00033887434127320048
xv,72,0,5.0495711853631069e-13
Trv,0,72,-0.0014839497326725388
Tvr,0,72,-0.0082257778623634429
Trv,1,72,-0.0001758380165663508
Tvr,1,72,-0.00032489969891106386
Tvv,0,72,9.7969957431026931
Tvv,1,72,0
Tvv,2,72,0
sv,73,0,3.5666285323021369e-53
Dtau,73,0,0.00034861756284339533
xv,73,0,4.9954160661648335e-13
Trv,0,73,-0.0015229665273747165
Tvr,0,73,-0.0081154966532960698
Trv,1,73,-0.0001899035659075504
Tvr,1,73,-0.00033731574219786326
Tvv,0,73,9.8277845162142654
Tvv,1,73,0
Tvv,2,73,0
sv,74,0,4.4268080302526795e-51
Dtau,74,0,0.0003586842842500385
xv,74,0,4.9435767219321048e-13
Trv,0,74,-0.0015625849248348978
Tvr,0,74,-0.0080062052589984865
Trv,1,74,-0.0002052436026005387
Tvr,1,74,-0.00035053506199881176
Tvv,0,74,9.8584742937953216
Tvv,1,74,0
Tvv,2,74,0
sv,75,0,4.8400491650225331e-49
Dtau,75,0,0.00036914189367988164
xv,75,0,4.8942209455442804e-13
Trv,0,75,-0.0016030077924932206
Tvr,0,75,-0.0078981024488952584
Trv,1,75,-0.00022201682220713534
Tvr,1,75,-0.00036462946206119469
Tvv,0,75,9.8891467841153542
Tvv,1,75,0
Tvv,2,75,0
sv,76,0,4.6094693740970292e-47
Dtau,76,0,0.00037997518588711419
xv,76,0,4.8473903881200434e-13
Trv,0,76,-0.0016440286934606156
Tvr,0,76,-0.0077909774881785446
Trv,1,76,-0.00024035614149561251
Tvr,1,76,-0.00037967895470972701
Tvv,0,76,9.9197189025683858
Tvv,1,76,0
Tvv,2,76,0
sv,77,0,3.8766518896499141e-45
Dtau,77,0,0.00039126153703942086
xv,77,0,4.8032858021986925e-13
Trv,0,77,-0.0016858640211872861
Tvr,0,77,-0.0076850385742674053
Trv,1,77,-0.00026046169008379298
Tvr,1,77,-0.0003957729508937785
Tvv,0,77,9.9502730270149815
Tvv,1,77,0
Tvv,2,77,0
sv,78,0,2.8484221205302442e-43
Dtau,78,0,0.00040299009649920266
xv,78,0,4.7619742279635728e-13
Trv,0,78,-0.001728290610735174
