angle_index,time,R_normal,dlog_Doppler,R_hydrogen_analytic,R_hydrogen_direct,residual
11,1.8285714285714283,-0.7786375212414358,0.0036366588092759944,-0.7750008624321598,-0.7750008624287281,3.431699369116359e-12
11,2.164285714285714,-0.7835696919133991,-0.03248831438134914,-0.8160580062947482,-0.81605800630787,-1.3121725928044725e-11
11,2.4999999999999996,-0.7889637173161657,-0.0621318185345453,-0.851095535850711,-0.8510955358661161,-1.5405121622791285e-11
11,2.8357142857142854,-0.7946679717993087,-0.08054612263666616,-0.8752140944359749,-0.8752140944571587,-2.1183832465965224e-11
11,3.1714285714285713,-0.8005221091961673,-0.08500555564172674,-0.885527664837894,-0.8855276648493207,-1.1426637414047036e-11
11,3.5071428571428567,-0.8063615701425921,-0.07531305089793294,-0.8816746210405251,-0.881674621046787,-6.261879903490808e-12
11,3.8428571428571425,-0.8120222078283571,-0.053708432724091204,-0.8657306405524483,-0.865730640553508,-1.059707877004712e-12
11,4.178571428571429,-0.8173449021517116,-0.02437554947715237,-0.841720451628864,-0.8417204516442122,-1.5348167181628014e-11
11,4.514285714285714,-0.8221800325735336,0.007317468639057911,-0.8148625639344756,-0.8148625639525785,-1.8102852550327952e-11
11,4.85,-0.8263916839394876,0.03576729109072674,-0.7906243928487608,-0.7906243928453478,3.4130476223026562e-12
12,0.15,-0.7650983913660728,-0.10829334785603972,-0.8733917392221126,-0.873391739216779,5.333511410299252e-12
12,0.48571428571428565,-0.7660270798729547,-0.09259253772977571,-0.8586196176027304,-0.858619617604093,-1.3625767181224546e-12
12,0.8214285714285714,-0.7679107446223495,-0.0700684186570103,-0.8379791632793598,-0.8379791632734389,5.920930412628422e-12
12,1.157142857142857,-0.77069643593911,-0.04404475015818021,-0.8147411860972902,-0.8147411860767727,2.0517476606585205e-11
12,1.4928571428571427,-0.7743058482487807,-0.018289226635147426,-0.7925950748839281,-0.7925950748869739,-3.0457858457566545e-12
12,1.8285714285714283,-0.7786375212414358,0.0038396691769514435,-0.7747978520644844,-0.7747978520609524,3.5319525082400105e-12
12,2.164285714285714,-0.7835696919133991,0.020243271775048366,-0.7633264201383507,-0.7633264201528654,-1.4514722757041909e-11
12,2.4999999999999996,-0.7889637173161657,0.03039597734469124,-0.7585677399714744,-0.7585677399927584,-2.1283974582786414e-11
12,2.8357142857142854,-0.7946679717993087,0.034963824280829225,-0.7597041475184795,-0.7597041475367512,-1.827171747237344e-11
12,3.1714285714285713,-0.8005221091961673,0.035101030778819875,-0.7654210784173474,-0.7654210784246994,-7.352007891370249e-12
12,3.5071428571428567,-0.8063615701425921,0.03191190572668279,-0.7744496644159093,-0.7744496644183454,-2.4360513606325185e-12
12,3.8428571428571425,-0.8120222078283571,0.02626691985824059,-0.7857552879701165,-0.7857552879667975,3.3190117321169055e-12
12,4.178571428571429,-0.8173449021517116,0.018872723328798524,-0.7984721788229131,-0.7984721788367731,-1.3860024239420454e-11
12,4.514285714285714,-0.8221800325735336,0.010431550517695953,-0.8117484820558376,-0.8117484820491238,6.713851696815709e-12
12,4.85,-0.8263916839394876,0.0017895969235336429,-0.8246020870159539,-0.8246020870239511,-7.997158490979928e-12
13,0.15,-0.7650983913660728,-0.24134032929636373,-1.0064387206624366,-1.0064387206625,-6.350475700855895e-14
13,0.48571428571428565,-0.7660270798729547,-0.22980737103714355,-0.9958344509100983,-0.9958344509124656,-2.3673285554082213e-12
13,0.8214285714285714,-0.7679107446223495,-0.1952376036079413,-0.9631483482302908,-0.963148348227342,2.9488633757068783e-12
13,1.157142857142857,-0.77069643593911,-0.13781770259310278,-0.9085141385322127,-0.9085141385219615,1.0251244297876383e-11
13,1.4928571428571427,-0.7743058482487807,-0.06321554873853474,-0.8375213969873154,-0.8375213969781987,9.116707389011935e-12
13,1.8285714285714283,-0.7786375212414358,0.016884390073866995,-0.7617531311675688,-0.7617531311621127,5.456080032217869e-12
13,2.164285714285714,-0.7835696919133991,0.08831815096525375,-0.6952515409481453,-0.6952515409552883,-7.142952895833332e-12
13,2.4999999999999996,-0.7889637173161657,0.14025183549944087,-0.6487118818167248,-0.6487118818176983,-9.735545702937998e-13
13,2.8357142857142854,-0.7946679717993087,0.16870106874705537,-0.6259669030522533,-0.6259669030709661,-1.8712809080057013e-11
13,3.1714285714285713,-0.8005221091961673,0.17568000122139027,-0.624842107974777,-0.624842107991667,-1.688993389592497e-11
13,3.5071428571428567,-0.8063615701425921,0.1660248638923998,-0.6403367062501923,-0.6403367062368658,1.3326562076088067e-11
13,3.8428571428571425,-0.8120222078283571,0.14467817353015577,-0.6673440342982013,-0.6673440343052394,-7.038036820006255e-12
13,4.178571428571429,-0.8173449021517116,0.11545896841218606,-0.7018859337395256,-0.7018859337496832,-1.0157652496900482e-11
13,4.514285714285714,-0.8221800325735336,0.08097219766151653,-0.741207834912017,-0.7412078348978389,1.4178103135975562e-11
