x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-27.225,2464491922834054.5,6.570479594966949e-07,6.405274152781917e-18,7.07520032324929e-24,7.07520032324929e-20,1.0011450746636958,7.083301955880015e-24,5.302729239373248e-07
-27.2,2464493369687092.5,6.582587848811422e-07,6.417077961661369e-18,7.0882386898215e-24,7.0882386898215e-20,1.0011440231718098,7.096347799129976e-24,5.312501249280718e-07
-27.175,2464494816540130.5,6.594729626527551e-07,6.428914451502007e-18,7.101313155449213e-24,7.101313155449213e-20,1.001142971679924,7.109429755276164e-24,5.322300314749639e-07
-27.15,2464496263393168.0,6.606905052070407e-07,6.440783743142227e-18,7.114423853609283e-24,7.114423853609283e-20,1.0011419201880383,7.12254795783398e-24,5.332126535818397e-07
-27.125,2464497710246206.0,6.619114249968897e-07,6.452685957979832e-18,7.127570918396485e-24,7.127570918396484e-20,1.0011408686961523,7.13570254093689e-24,5.341980012988499e-07
-27.1,2464499157099243.5,6.631357345328953e-07,6.464621217975142e-18,7.140754484526937e-24,7.140754484526938e-20,1.0011398172042665,7.148893639339844e-24,5.351860847227134e-07
-27.075,2464500603952281.5,6.643634463836748e-07,6.4765896456541285e-18,7.153974687341578e-24,7.153974687341579e-20,1.0011387657123807,7.162121388422762e-24,5.361769139969783e-07
-27.05,2464502050805319.5,6.655945731761922e-07,6.48859136411156e-18,7.167231662809627e-24,7.167231662809627e-20,1.0011377142204947,7.175385924193986e-24,5.371704993122813e-07
-27.025,2464503497658357.0,6.668291275960855e-07,6.50062649701419e-18,7.180525547532119e-24,7.180525547532119e-20,1.001136662728609,7.188687383293822e-24,5.381668509066124e-07
-27.0,2464504944511395.0,6.680671223879919e-07,6.512695168603934e-18,7.193856478745401e-24,7.193856478745401e-20,1.0011356112367231,7.202025902998038e-24,5.391659790655772e-07
-26.975,2464506391364433.0,6.693085703558801e-07,6.5247975037010994e-18,7.207224594324708e-24,7.207224594324707e-20,1.0011345597448371,7.215401621221429e-24,5.401678941226643e-07
-26.95,2464507838217470.5,6.705534843633814e-07,6.536933627707622e-18,7.220630032787735e-24,7.220630032787735e-20,1.0011335082529513,7.228814676521408e-24,5.411726064595139e-07
-26.925,2464509285070508.5,6.718018773341227e-07,6.549103666610306e-18,7.23407293329822e-24,7.23407293329822e-20,1.0011324567610655,7.242265208101575e-24,5.421801265061858e-07
