i,j,mu,group,branch,log_low,log_high,relative_low_high,amp_reciprocity
2,19,-0.7071067811865475,1,GL8_12,107.24991368094197,107.24991774392001,-4.062969781906284e-06,9.54505167341044e-15
2,19,-0.5773502691896258,1,GL8_12,104.23174596854116,104.23175567515493,-9.706566657956911e-06,5.240387279342596e-12
2,18,0.7071067811865475,1,GL8_12,-48.37013215340325,-48.10504365969955,-0.2328619399162005,4.4909647011165225e-12
2,18,0.816496580927726,1,GL8_12,-161.8891135404582,-161.10816526864022,-0.5420284761578217,5.313544740042498e-12
2,19,-0.5,1,GL8_12,102.18728633270506,102.18730287372537,-1.6540883513308274e-05,9.388971383512874e-12
2,19,-0.3333333333333333,1,GL8_12,96.98630391153108,96.98635806859724,-5.415559969219825e-05,8.04598517957856e-12
2,19,0.0,1,GL8_12,81.45629397870754,81.45697914986368,-0.0006849364799937504,5.0612990995528436e-12
2,19,0.3333333333333333,1,GL8_12,50.60409605488208,50.614973811754446,-0.010818808012483317,5.2548691696325665e-12
2,19,0.5,1,GL8_12,19.889839710974456,19.936513355828787,-0.04560118026366062,5.272246534569316e-12
2,20,-1.0,1,back_32_48,109.8553131490286,109.8553131490273,1.307398633799439e-12,7.534603684163773e-16
2,19,0.5773502691896258,1,GL8_12,-2.554269718987257,-2.461290655309668,-0.08878742246325562,5.137804775722457e-12
2,20,-0.816496580927726,1,GL8_12,106.3952616143803,106.39526510873739,-3.494350982871e-06,7.603697616775588e-15
2,20,-0.7071067811865475,1,GL8_12,103.98305803821972,103.98306499219376,-6.953949857783955e-06,1.5311315394667067e-14
2,19,0.7071067811865475,1,GL8_12,-66.74670926044531,-66.44532793414417,-0.26020438457250733,5.6964400966635504e-12
2,20,-0.5773502691896258,1,GL8_12,100.69316874947125,100.69318487580463,-1.6126203349381924e-05,7.695675031980918e-12
2,19,0.816496580927726,1,GL8_12,-191.25676008138134,-190.40467815865821,-0.5734739872586763,5.143492789607212e-12
2,20,-0.5,1,GL8_12,98.4644343946815,98.46446138194943,-2.6986903776672972e-05,7.182178346672879e-12
2,20,-0.3333333333333333,1,GL8_12,92.7939349916707,92.79401985034079,-8.485506969745535e-05,8.348433942827093e-12
2,20,0.0,1,GL8_12,75.85640211799475,75.8573841206024,-0.0009815206008862857,6.219337732257811e-12
2,20,0.3333333333333333,1,GL8_12,42.18874523900309,42.202773936019256,-0.013930753388275433,4.456613495737064e-12
2,20,0.5,1,GL8_12,8.655131922418178,8.711842592332495,-0.05513259160975616,5.579759156320109e-12
2,21,-1.0,1,back_32_48,106.95627168635359,106.95627168635302,5.684341886082417e-13,7.793753260273595e-16
2,21,-0.816496580927726,1,GL8_12,103.1987802395123,103.19878611125347,-5.871723927536195e-06,8.83180350354532e-15
2,20,0.5773502691896258,1,GL8_12,-15.854924825628771,-15.745150618854595,-0.10396356858657319,4.826435598221899e-12
2,21,-0.7071067811865475,1,GL8_12,100.5789274319643,100.57893886040536,-1.1428375751343783e-05,3.185798681587497e-14
2,20,0.7071067811865475,1,GL8_12,-85.96777591773865,-85.62873232620173,-0.28754860843886565,5.532602011526097e-12
2,20,0.816496580927726,1,GL8_12,-221.9776948318218,-221.05387535104165,-0.6030001915465752,6.143874713044453e-12
2,21,-0.5773502691896258,1,GL8_12,97.00548020826577,97.00550600320969,-2.5794611236368798e-05,9.927938813342382e-12
2,21,-0.5,1,GL8_12,94.5844287281486,94.58447118490872,-4.2455858851666813e-05,9.956269357400121e-12
2,21,-0.3333333333333333,1,GL8_12,88.42386955758992,88.42399817263947,-0.00012860677898651193,8.391147124478437e-12
