lane,event_id,beta_norm,response_relative,thermal_log_residual,conductance_log_residual,rest_frequency_in_relative,rest_frequency_out_relative,response_forward_m2,response_reverse_m2
stress,9,0.241948040242396,8.909754864934954193563248313372005122042e-90,0.0,0.0,2.18490975176704770761125345596596614333e-91,0.0,4.495285810585540592817019495087353804209e-27,4.495285810585540592817019495087353804209e-27
stress,10,0.26394521212041316,6.963837330186575236374604715462817809214e-90,1.647218428629769253804464695510940469955e-83,1.647218428629769253804464695510940469955e-83,2.313407367898771174821103033695916314337e-91,0.0,2.420148434594851938774093282199224028737e-27,2.420148434594851938774093282199224028737e-27
stress,11,0.536907903174332,6.247673094735843985021190263321982578618e-90,0.0,0.0,2.156759127863566192796747801403450778866e-91,4.313518269164197051807922102303507159572e-91,2.062845750280640175660233186926565122762e-27,2.062845750280640175660233186926565122762e-27
stress,12,0.4349838255133647,6.605155921279441251198507497858381989788e-89,-1.976662114355723104565357634613128563946e-82,-1.976662114355723104565357634613128563946e-82,2.248883532652654336605641714217280759344e-91,0.0,2.547487838582831413720417288408570813081e-25,2.547487838582831413720417288408570813081e-25
stress,13,0.3241423858381041,1.978284802212461815335805115174849138554e-91,-3.294436857259538507608929391021880939909e-83,-3.294436857259538507608929391021880939909e-83,0.0,5.069661113512588163057550885037336600871e-91,2.505664323692645644847438563066552247493e-28,2.505664323692645644847438563066552247493e-28
stress,14,0.0995100906547069,4.720016934294316338465232229196817220449e-90,-4.118046071574423134511161738777351174887e-84,-4.118046071574423134511161738777351174887e-84,2.129849771839904377595926503055714499459e-91,0.0,8.401525197914536333712874305901147659511e-28,8.401525197914536333712874305901147659511e-28
stress,15,0.06730973359660489,4.975320229219034958109831749982270586607e-89,0.0,0.0,2.231210358416144036624662445855474387282e-91,0.0,1.132435827095522265270132449187076667593e-25,1.132435827095522265270132449187076667593e-25
stress,16,0.19496474562846813,1.079542770245299256990435539285335552628e-91,-1.647218428629769253804464695510940469955e-83,-1.647218428629769253804464695510940469955e-83,0.0,2.632018927716930807164526744396872876147e-91,1.147920626127853897468658602873297302095e-28,1.147920626127853897468658602873297302095e-28
stress,17,0.3253197479732522,7.600795821972397422400260728253243191722e-91,6.588873714519077015217858782043761879819e-83,6.588873714519077015217858782043761879819e-83,1.605927188598104219692186319155567970345e-91,3.211854466480759792283234651399498937225e-91,1.630394292620536802257747637612872141278e-29,1.630394292620536802257747637612872141278e-29
stress,18,0.16923806678953865,0.0,0.0,0.0,0.0,0.0,5.000026979047940067701370531945749867217e-26,5.000026979047940067701370531945749867217e-26
