event_id,beta_norm,nu_in_rest_over_nu_alpha,nu_out_rest_over_nu_alpha,mu_rest,response_forward_m2,response_reverse_m2,response_relative,thermal_log_residual,conductance_log_residual,maxwell_boltzmann_log_residual,rest_frequency_in_relative,rest_frequency_out_relative
79,9.157915361482124e-06,1.0000511136020267,1.000051113042415,0.9484940922446232,1.570930838571894e-21,1.5709308385594299e-21,3.967135113063105e-12,7.105427357601002e-15,7.901235221652314e-12,7.105427357601002e-15,2.0274158563025133e-16,4.0548317148740405e-16
80,2.7330626107261246e-05,1.0001536926860939,1.0001536851819195,0.30946758099257854,1.0021369673274049e-22,1.0021369673194714e-22,3.958305691648119e-12,1.4210854715202004e-14,7.94386778579792e-12,3.765876499528531e-13,6.081623753398736e-16,0.0
81,1.0939868307663687e-05,0.9998572842688308,0.9998572710045411,-0.2213007284149331,1.1129195344104158e-22,1.1129195344104158e-22,0.0,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0
82,2.911806611065643e-05,1.000008160914372,1.0000081515998134,0.14262691741059105,3.3101132765756294e-20,3.3101132767401056e-20,2.4844500635346845e-11,-7.105427357601002e-15,-4.9681148084346205e-11,-9.237055564881302e-14,2.0275029385518645e-16,2.0275029574370058e-16
83,8.507943633762358e-06,1.0000718285037535,1.0000718136844868,-0.3638888762098607,4.741999941801706e-22,4.741999941801705e-22,1.9831199751144033e-16,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,4.054747783281488e-16
84,2.459150296012379e-05,0.9999313457595597,0.9999313283881621,-0.5992230675651605,6.230416467741653e-22,6.230416467631258e-22,8.85935208648877e-12,-7.105427357601002e-15,1.7692514120426495e-11,-3.339550858072471e-13,6.08297607659136e-16,0.0
85,2.4283808003482052e-05,1.0001247787629803,1.0001247738347883,0.5464826634997474,1.801918263783495e-22,1.801918263783495e-22,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,-2.4158453015843406e-13,0.0,0.0
86,4.889778120949831e-05,0.9998403248601826,0.9998403163549796,0.21686248467400368,8.87430478278714e-23,8.874304782764607e-23,1.2695671245508041e-12,0.0,2.5082158572331537e-12,1.6697754290362354e-12,2.027843280989155e-16,0.0
87,2.489667390257485e-05,1.000219350050884,1.0002193360777292,-0.2856377521444708,4.855928098402473e-23,4.855928098393495e-23,9.244204117609459e-13,1.4210854715202004e-14,1.8758328224066645e-12,-3.836930773104541e-13,2.0270748458591503e-16,2.0270748741775692e-16
88,4.1276469229751865e-05,0.9998043256979978,0.9998043047916307,-0.9251439304639599,1.0474919157294318e-22,1.0474919157294322e-22,1.68329845773137e-16,-7.105427357601002e-15,-1.4210854715202004e-14,1.9326762412674725e-12,0.0,2.0279163383401222e-16
89,2.5137462818031393e-05,1.0001485180760172,1.0001485103541385,0.289427122545884,1.061436384433334e-22,1.0614363844333338e-22,1.1074562433148975e-16,0.0,2.842170943040401e-14,-1.2789769243681803e-13,0.0,2.0272184219039818e-16
90,3.105063501468714e-05,0.9999838986951616,0.9999838838308217,-0.36827774750916575,9.46457684004781e-21,9.464576840524525e-21,2.5184211482931802e-11,0.0,-5.03632691106759e-11,-6.536993168992922e-13,4.055104262129347e-16,2.0275521612033823e-16
91,2.281453862042296e-05,1.0001607008905176,1.0001606871412887,-0.2651832291928371,8.953418907638269e-23,8.95341890766087e-23,1.2621563961421604e-12,-7.105427357601002e-15,-2.5295321393059567e-12,2.2737367544323206e-13,2.027193712994805e-16,4.054387481725356e-16
92,9.837635260665871e-06,1.0001686088907282,1.000168599704986,0.15475530066657453,7.780813372600833e-23,7.780813372619556e-23,1.2031694582089934e-12,-7.105427357601002e-15,-2.4442670110147446e-12,-7.105427357601002e-15,2.0271776846490175e-16,4.054355406534021e-16
93,1.1145029748418202e-05,1.00020799161538,1.0002079854001265,0.4281358717950711,5.908724729236761e-23,5.908724729236761e-23,0.0,-7.105427357601002e-15,0.0,-7.105427357601002e-15,0.0,0.0
94,2.2574889579933077e-05,0.9999683068924596,0.9999683001969066,0.383648248967724,2.467735042130587e-21,2.4677350420674413e-21,1.279425762044156e-11,0.0,2.559374934207881e-11,-7.105427357601002e-14,4.055167490518841e-16,0.0
95,4.209177111789269e-05,1.0000430433225824,1.0000430302013015,-0.20768451357383066,1.2164381065947247e-21,1.2164381065947247e-21,0.0,0.0,2.842170943040401e-14,-1.9895196601282805e-12,0.0,0.0
96,1.838731192370711e-05,0.9998953267826873,0.9998953061764747,-0.8971590963278406,3.5596463947869715e-22,3.559646394800757e-22,1.93639002582752e-12,1.4210854715202004e-14,-3.865352482534945e-12,-1.2789769243681803e-13,2.0277317340341838e-16,4.055463551644858e-16
