x_source,x_target,mu,q_dimensionless,delta_dimensionless,log_conductance_forward,log_conductance_reverse,conductance_log_residual,log_S_MJ_minus_log_S_MB
1.0,-3.5,0.75,7.681704881650016e-09,1.1473008358247624e-12,19.702590609987638,19.702590609987645,-7.105427357601002e-15,-6.781284263013276e-07
1.0,-1.0,-0.75,2.0324476787435517e-08,5.099114825891509e-13,58.08802642417021,58.08802642417021,0.0,-1.0558522944847937e-09
1.0,-1.0,-0.25,1.7177318034194503e-08,5.099114825891509e-13,57.79911973870606,57.79911973870606,0.0,-1.5737846581487247e-09
1.0,-1.0,0.25,1.3305493339697032e-08,5.099114825891509e-13,56.98786593724013,56.98786593724013,0.0,-3.453695995858652e-09
1.0,-1.0,0.75,7.681930172657164e-09,5.099114825891509e-13,52.20383880523443,52.20383880523443,0.0,-2.695260192808746e-08
1.0,-0.5,-0.75,2.0324596031714798e-08,3.824336119426904e-13,58.58780837505674,58.587808375056746,-7.105427357601002e-15,-6.870379820611561e-10
1.0,-0.5,-0.25,1.717741881305843e-08,3.824336119426904e-13,58.498904707012656,58.498904707012656,0.0,-8.509069004958292e-10
1.0,-0.5,0.25,1.3305571400959463e-08,3.824336119426904e-13,58.15432461270636,58.15432461270636,0.0,-1.4457128827416454e-09
1.0,-0.5,0.75,7.681975236411994e-09,3.824336119426904e-13,55.703666013283566,55.703666013283566,0.0,-8.880739699179685e-09
1.0,0.0,-0.75,2.0324715276094026e-08,2.5495574129457546e-13,58.944724801311395,58.944724801311395,0.0,-5.500524480339664e-10
1.0,0.0,-0.25,1.7177519592277136e-08,2.5495574129457546e-13,58.99867794090541,58.99867794090541,0.0,-5.824212223615177e-10
1.0,0.0,0.25,1.3305649462985258e-08,2.5495574129457546e-13,58.98743039769705,58.987430397697054,-7.105427357601002e-15,-6.999094637194503e-10
1.0,0.0,0.75,7.682020302017883e-09,2.5495574129457546e-13,58.20343455256811,58.20343455256811,0.0,-2.1685231388346438e-09
1.0,0.5,-0.75,2.03248345205732e-08,1.2747787064646055e-13,59.15878073201671,59.15878073201671,0.0,-5.184404017199995e-10
1.0,0.5,-0.25,1.7177620371850615e-08,1.2747787064646055e-13,59.29844648107631,59.29844648107632,-7.105427357601002e-15,-5.204654485169158e-10
1.0,0.5,0.25,1.3305727525774403e-08,1.2747787064646055e-13,59.48719502660705,59.487195026607054,-7.105427357601002e-15,-5.278053549773176e-10
1.0,0.5,0.75,7.682065369474795e-09,1.2747787064646055e-13,59.703179624895704,59.70317962489571,-7.105427357601002e-15,-6.195932655828074e-10
3.5,-3.5,-0.75,2.032447679643055e-08,1.7846901890620282e-12,45.23088349335379,45.23088349335379,0.0,-8.147740437891571e-08
3.5,-3.5,-0.25,1.71773180661237e-08,1.7846901890620282e-12,39.79911965181431,39.7991196518143,7.105427357601002e-15,-1.592000238304081e-07
