state_index,frequency_index,angle_index,x_center,nu_center_Hz,nx,ny,nz,normalized_angular_weight
222,8,14,0.0,2466067559187777.0,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
223,8,15,0.0,2466067559187777.0,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
224,8,16,0.0,2466067559187777.0,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
225,8,17,0.0,2466067559187777.0,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
226,8,18,0.0,2466067559187777.0,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
227,8,19,0.0,2466067559187777.0,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
228,8,20,0.0,2466067559187777.0,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
229,8,21,0.0,2466067559187777.0,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
230,8,22,0.0,2466067559187777.0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
231,8,23,0.0,2466067559187777.0,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
232,8,24,0.0,2466067559187777.0,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
233,8,25,0.0,2466067559187777.0,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
234,9,0,0.5,2466096496248533.5,-1.0,0.0,0.0,0.047619047619047616
235,9,1,0.5,2466096496248533.5,1.0,0.0,0.0,0.047619047619047616
236,9,2,0.5,2466096496248533.5,0.0,-1.0,0.0,0.047619047619047616
237,9,3,0.5,2466096496248533.5,0.0,1.0,0.0,0.047619047619047616
238,9,4,0.5,2466096496248533.5,0.0,0.0,-1.0,0.047619047619047616
239,9,5,0.5,2466096496248533.5,0.0,0.0,1.0,0.047619047619047616
240,9,6,0.5,2466096496248533.5,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
241,9,7,0.5,2466096496248533.5,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
242,9,8,0.5,2466096496248533.5,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
243,9,9,0.5,2466096496248533.5,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
244,9,10,0.5,2466096496248533.5,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
245,9,11,0.5,2466096496248533.5,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
246,9,12,0.5,2466096496248533.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
247,9,13,0.5,2466096496248533.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
248,9,14,0.5,2466096496248533.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
249,9,15,0.5,2466096496248533.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
250,9,16,0.5,2466096496248533.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
251,9,17,0.5,2466096496248533.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
252,9,18,0.5,2466096496248533.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
253,9,19,0.5,2466096496248533.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
254,9,20,0.5,2466096496248533.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
255,9,21,0.5,2466096496248533.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
256,9,22,0.5,2466096496248533.5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
257,9,23,0.5,2466096496248533.5,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
258,9,24,0.5,2466096496248533.5,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
259,9,25,0.5,2466096496248533.5,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
260,10,0,1.0,2466125433309289.5,-1.0,0.0,0.0,0.047619047619047616
261,10,1,1.0,2466125433309289.5,1.0,0.0,0.0,0.047619047619047616
262,10,2,1.0,2466125433309289.5,0.0,-1.0,0.0,0.047619047619047616
263,10,3,1.0,2466125433309289.5,0.0,1.0,0.0,0.047619047619047616
264,10,4,1.0,2466125433309289.5,0.0,0.0,-1.0,0.047619047619047616
265,10,5,1.0,2466125433309289.5,0.0,0.0,1.0,0.047619047619047616
266,10,6,1.0,2466125433309289.5,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
267,10,7,1.0,2466125433309289.5,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
268,10,8,1.0,2466125433309289.5,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
269,10,9,1.0,2466125433309289.5,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
270,10,10,1.0,2466125433309289.5,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
271,10,11,1.0,2466125433309289.5,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
272,10,12,1.0,2466125433309289.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
273,10,13,1.0,2466125433309289.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
274,10,14,1.0,2466125433309289.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
275,10,15,1.0,2466125433309289.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
276,10,16,1.0,2466125433309289.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
277,10,17,1.0,2466125433309289.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
278,10,18,1.0,2466125433309289.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
279,10,19,1.0,2466125433309289.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
280,10,20,1.0,2466125433309289.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
281,10,21,1.0,2466125433309289.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
