physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
102,7,0,7,-4.0,-0.5,12,1,1.0,26,4.477007127955324e-31,1.3421729615384153e-22,60260.891263361824,0.9999999926720097,-1815687447.4772763,True,-1815687499.0215378,False
103,8,0,8,-4.0,0.0,0,-1,-1.0,26,1.0900587556368388e-26,1.5339119560457963e-22,2.8279052347300104,4.692770310429334e-05,46.3513559009474,False,-5.192905508153892,True
104,8,0,8,-4.0,0.0,1,-sqrt(2/3),-0.816496580927726,48,1.0388484645685479e-26,1.5339119560457963e-22,2.9673705451005326,4.9242061661305186e-05,45.99535467823439,False,-5.5489067308668965,True
105,8,0,8,-4.0,0.0,2,-1/sqrt(2),-0.7071067811865475,48,1.0070829737579435e-26,1.5339119560457963e-22,3.0610063369105167,5.079590179145858e-05,45.7441736036721,False,-5.800087805429186,True
106,8,0,8,-4.0,0.0,3,-1/sqrt(3),-0.5773502691896258,48,9.680526586644774e-27,1.5339119560457963e-22,3.1844689785511644,5.284470389424095e-05,45.39815896435738,False,-6.14610244474391,True
107,8,0,8,-4.0,0.0,4,-1/2,-0.5,48,9.440185743458043e-27,1.5339119560457963e-22,3.2655726732422274,5.419058000719591e-05,45.16173850299958,False,-6.3825229061017055,True
108,8,0,8,-4.0,0.0,5,-1/3,-0.3333333333333333,24,8.90029247478045e-27,1.5339119560457963e-22,3.4637296855297692,5.7478898627798985e-05,44.553900795547285,False,-6.990360613554003,True
109,8,0,8,-4.0,0.0,6,0,0.0,192,7.707879388516895e-27,1.5339119560457963e-22,3.9997248298899395,6.637347567761245e-05,42.69755414101339,False,-8.846707268087897,True
110,8,0,8,-4.0,0.0,7,1/3,0.3333333333333333,24,6.293457173860301e-27,1.5339119560457963e-22,4.898831444401582,8.129370983069819e-05,38.89991129105608,False,-12.64435011804521,True
111,8,0,8,-4.0,0.0,8,1/2,0.5,48,5.4502937961965615e-27,1.5339119560457963e-22,5.656792406208201,9.387170096826245e-05,35.04337692304181,False,-16.500884486059476,True
112,8,0,8,-4.0,0.0,9,1/sqrt(3),0.5773502691896258,48,5.011009313612465e-27,1.5339119560457963e-22,6.152743810938793,0.00010210177176042479,32.19893104515822,False,-19.34533036394307,True
113,8,0,8,-4.0,0.0,10,1/sqrt(2),0.7071067811865475,48,4.171474287650942e-27,1.5339119560457963e-22,7.3911325784008355,0.00012265222716233606,23.996006686014056,False,-27.548254723087233,True
114,8,0,8,-4.0,0.0,11,sqrt(2/3),0.816496580927726,48,3.3018473771820874e-27,1.5339119560457963e-22,9.337896723916101,0.00015495782521168013,7.946056864925012,False,-43.598204544176276,True
115,8,0,8,-4.0,0.0,12,1,1.0,26,5.116579489248358e-31,1.5339119560457963e-22,60260.89227109477,1.0000000093948447,-1815687508.337694,True,-1815687559.8819554,False
116,9,0,9,-4.0,0.5,0,-1,-1.0,26,1.0900651513612605e-26,1.7256509505531774e-22,3.1814565443866027,5.2794714023873416e-05,45.28904117004032,False,-6.255220239060968,True
117,9,0,9,-4.0,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388545598564704e-26,1.7256509505531774e-22,3.3383502539647165,5.539828833449415e-05,44.82570157779321,False,-6.718559831308077,True
118,9,0,9,-4.0,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070888826873915e-26,1.7256509505531774e-22,3.4436875172495434,5.7146308655875637e-05,44.499555775391315,False,-7.044705633709974,True
119,9,0,9,-4.0,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680583386158851e-27,1.7256509505531774e-22,3.582579244373398,5.9451148879679334e-05,44.05113741354519,False,-7.493123995556097,True
120,9,0,9,-4.0,0.5,4,-1/2,-0.5,48,9.440241132977049e-27,1.7256509505531774e-22,3.673818561447835,6.096522068467618e-05,43.74524366649233,False,-7.79901774260896,True
