virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
67,9.7044169,2346517566490707.0,0.0005090813055487923,48170924642142.73,1.4285123523413422e-14,1.4294665918340827e-14,5.178017263879144e-14,1.430420669411383e-14,4.568371654665243e-17,4.5683716546649005e-17,4.568371654665243e-17,4.568371654665243e-17
68,9.7148059,2349029615514309.0,0.0005234127709467958,48325797526366.42,1.4113463628081139e-14,1.4122786558940955e-14,4.974330695289116e-14,1.4132107863363103e-14,4.477643522885165e-17,4.477643522885243e-17,4.477643522885165e-17,4.477643522885165e-17
69,9.7251678,2351535111787065.0,0.0005382120366780376,48480596719829.02,1.3944286589968949e-14,1.3953393469215876e-14,4.779159028347047e-14,1.3962498714793861e-14,4.387877407491656e-17,4.387877407491551e-17,4.387877407491656e-17,4.387877407491656e-17
70,9.7354753,2354027454198343.5,0.0005534431331859937,48634910840925.94,1.3777946430724491e-14,1.3786840884075586e-14,4.592612482150378e-14,1.3795733696725175e-14,4.299156296549935e-17,4.299156296550113e-17,4.2991562965495535e-17,4.2991562965495535e-17
71,9.7457556,2356513219678884.5,0.0005691974599319166,48789143563884.11,1.3614008365188787e-14,1.3622693845079908e-14,4.413813574628615e-14,1.3631377677207654e-14,4.211450707238008e-17,4.211450707237932e-17,4.211450707238008e-17,4.211450707238008e-17
72,9.7559816,2358985855477840.5,0.0005854410999930667,48942884788919.94,1.345281626080472e-14,1.3461296436736459e-14,4.242868041549812e-14,1.3469774957945168e-14,4.1248480871561903e-17,4.12484808715607e-17,4.1248480871561903e-17,4.1248480871561903e-17
73,9.7661803,2361451890166165.5,0.0006022761187199549,49096536919397.0,1.3293947642925136e-14,1.3302226015868894e-14,4.078975803497019e-14,1.331050272702279e-14,4.039319084027877e-17,4.039319084028058e-17,4.039319084028262e-17,4.039319084028262e-17
74,9.7763246,2363904770993014.0,0.0006196718796328986,49249688150402.15,1.3137739264983341e-14,1.3145819564791863e-14,3.922241151085765e-14,1.315389819572898e-14,3.9549592667564295e-17,3.9549592667562896e-17,3.954959266756044e-17,3.954959266756044e-17
75,9.7864417,2366351074889123.5,0.0006377449929884735,49402745618431.125,1.2983775009522756e-14,1.2991660805191084e-14,3.771927970247205e-14,1.2999544924663024e-14,3.871741493076587e-17,3.871741493076412e-17,3.8717414930761993e-17,3.8717414930761993e-17
76,9.7965044,2368784224923756.5,0.000656469557374307,49555294325195.51,1.2832386108780066e-14,1.2840081208168905e-14,3.628140445674247e-14,1.2847774623877326e-14,3.7897685312578197e-17,3.789768531257766e-17,3.7897685312574314e-17,3.7897685312574314e-17
