physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
2393,7,9,-3.5,-2.5,0.5,0.5,9,1/sqrt(3),0.5773502691896258,48,5.010891689502003e-27,3.8347798901144907e-23,1.5379963655884445,2.5522296834217458e-05,True,series_v0_8,8.213320437901116e-05
2394,7,9,-3.5,-2.5,0.5,0.5,10,1/sqrt(2),0.7071067811865475,48,4.171376361030296e-27,3.8347798901144907e-23,1.8476386411967352,3.066065882733811e-05,True,series_v0_8,8.213320437901116e-05
2395,7,9,-3.5,-2.5,0.5,0.5,11,sqrt(2/3),0.816496580927726,48,3.301769851435872e-27,3.8347798901144907e-23,2.334380280559098,3.8737898071415816e-05,True,series_v0_8,8.213320437901116e-05
2396,7,9,-3.5,-2.5,0.5,0.5,12,1,1.0,26,1.279144630446954e-31,3.8347798901144907e-23,60260.90366545786,1.0000001984787223,False,series_v0_8,8.213320437901116e-05
2397,7,10,-3.5,-2.0,0.5,0.5,0,-1,-1.0,26,1.0900395684635738e-26,5.752169835188301e-23,1.0600739973529238,1.7591409077436413e-05,True,series_v0_8,8.213320437901116e-05
2398,7,10,-3.5,-2.0,0.5,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388301786975532e-26,5.752169835188301e-23,1.112393630220698,1.8459627774297712e-05,True,series_v0_8,8.213320437901116e-05
2399,7,10,-3.5,-2.0,0.5,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070652469576992e-26,5.752169835188301e-23,1.1475195928620292,1.904252593009191e-05,True,series_v0_8,8.213320437901116e-05
2400,7,10,-3.5,-2.0,0.5,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680356187923901e-27,5.752169835188301e-23,1.193833547818846,1.9811083341813882e-05,True,series_v0_8,8.213320437901116e-05
2401,7,10,-3.5,-2.0,0.5,0.5,4,-1/2,-0.5,48,9.4400195746843e-27,5.752169835188301e-23,1.224256989489145,2.0315945463988527e-05,True,series_v0_8,8.213320437901116e-05
2402,7,10,-3.5,-2.0,0.5,0.5,5,-1/3,-0.3333333333333333,24,8.900135807953824e-27,5.752169835188301e-23,1.2985874411698988,2.1549422924705297e-05,True,series_v0_8,8.213320437901116e-05
2403,7,10,-3.5,-2.0,0.5,0.5,6,0,0.0,192,7.707743707416593e-27,5.752169835188301e-23,1.4996339140312436,2.488569072913309e-05,True,series_v0_8,8.213320437901116e-05
2404,7,10,-3.5,-2.0,0.5,0.5,7,1/3,0.3333333333333333,24,6.293346384747809e-27,5.752169835188301e-23,1.836857918977164,3.0481758019292407e-05,True,series_v0_8,8.213320437901116e-05
2405,7,10,-3.5,-2.0,0.5,0.5,8,1/2,0.5,48,5.450197844850903e-27,5.752169835188301e-23,2.121129931880541,3.5199112921626375e-05,True,series_v0_8,8.213320437901116e-05
2406,7,10,-3.5,-2.0,0.5,0.5,9,1/sqrt(3),0.5773502691896258,48,5.010921092310637e-27,5.752169835188301e-23,2.3071314721692042,3.828571743453927e-05,True,series_v0_8,8.213320437901116e-05
