b,source_line,energy_eV,normalized_A2s_s_inv,companion_eV,C_s_inv,D_s_inv,C_reference_80dps,D_reference_80dps,dC_dlogTheta_s_inv,dD_dlogTheta_s_inv,C_JVP,D_JVP,coefficient_relative_error,literal_exp_relative_error,temperature_derivative_relative_error,JVP_component_scaled_error
65,66,9.6835027,0.007798178201563917,0.5152118539537422,0.009885108247715109,0.0013504551982240895,0.00988510824771511042959616799373,0.00135045519822408959107197002255,0.003113558664986105,0.003113558664986105,-0.005304439241619823,0.00024308524054933943,1.5158480150273697e-16,0.0,1.4111286312773049e-16,1.22003035150281e-16
66,67,9.6939734,0.007646026979439977,0.5047411539537414,0.00975596959898142,0.001387837223719598,0.00975596959898141972444296624777,0.00138783722371959796972780807322,0.0031553287275012795,0.0031553287275012795,-0.005205461897437463,0.00023382414648272177,3.879311353817538e-17,0.0,9.62916089669223e-17,6.500754817604231e-17
67,68,9.7044169,0.007494301051371175,0.49429765395374226,0.00962812276447823,0.0014260456038073712,0.00962812276447823084940733968824,0.0014260456038073713632763845662,0.0031969452503638994,0.0031969452503638994,-0.005107379506779847,0.00022397064765621217,1.0993351228626827e-16,0.0,1.0947318472788142e-16,5.725742318507442e-17
68,69,9.7148059,0.007342992121374764,0.4839086539537423,0.009501389015152687,0.0014649106889057602,0.0095013890151526890473830491632,0.00146491068890576050883135325596,0.003238107970127827,0.003238107970127827,-0.005010183990603229,0.00021352692145727335,2.3196868682977326e-16,1.8257577636388674e-16,1.8269539316997681e-16,1.396453883667753e-16
69,70,9.7251678,0.007192096191386772,0.4735467539537428,0.009375948815714122,0.0015046173193728643,0.00937594881571412015831456324822,0.00150461731937286398346601936823,0.003279075470549143,0.003279075470549143,-0.004913899560816488,0.0002024659118053298,2.0124236889033634e-16,0.0,1.8402194790141922e-16,1.4996077248815013e-16
70,71,9.7354753,0.0070416048654728565,0.4632392539537431,0.009251610324891298,0.0015449828427998784,0.00925161032489129823528203662577,0.00154498284279987849330339078734,0.003319536486588015,0.003319536486588015,-0.004818513576007659,0.00019079428735176433,8.400959868516048e-17,0.0,8.048718333566006e-17,6.929505680719205e-17
71,72,9.7457556,0.006891518243584615,0.4529589539537415,0.009128570024222175,0.0015862036313335386,0.0091285700242221763433954034681,0.00158620363133353899535340375455,0.003359760975322885,0.003359760975322885,-0.004724056564628176,0.00017848159074943817,2.3576550272585557e-16,0.0,2.7686112697155714e-16,8.385383395434379e-17
72,73,9.7559816,0.006741828129690905,0.4427329539537421,0.00900662382541486,0.0016280845667619335,0.00900662382541485873182497323145,0.00162808456676193332779811215945,0.0033994284693904626,0.0033994284693904626,-0.004630511237539093,0.00016553928058531012,1.1814021366772232e-16,1.9260529912238262e-16,2.6274570794270274e-16,1.4460956605956555e-16
73,74,9.7661803,0.006592530125921354,0.432534253953742,0.00888597370197322,0.001670832435802587,0.00888597370197322012532479487258,0.00167083243580258708058261914596,0.003438816928321722,0.003438816928321722,-0.004537908812086773,0.00015193301092413804,9.609437037870425e-17,0.0,6.936823727618255e-17,6.445351336696135e-17
74,75,9.7763246,0.006443620334163589,0.4223899539537417,0.008766406158041308,0.0017142380088571033,0.00876640615804130881928807164083,0.00171423800885710317812896668265,0.003477595753237545,0.003477595753237545,-0.004446229531561334,0.00013767976540839891,6.626714194453284e-17,0.0,1.7527950753909203e-17,6.91487828316125e-17
75,76,9.7864417,0.006295094656402039,0.412272853953743,0.008648139079784223,0.0017585236571305706,0.0086481390797842235349295778704,0.00175852365713057023760372604934,0.003516058617493643,0.003516058617493643,-0.004355509299562034,0.00012274072516284045,1.843359977242181e-16,0.0,1.7143020991455738e-16,7.718237218940305e-17
76,77,9.7965044,0.00614694879471793,0.4022101539537424,0.008530941425428684,0.001803463042672142,0.00853094142542868320305497044204,0.00180346304267214184545768565404,0.0035538606382778722,0.0035538606382778722,-0.00426572209674861,0.00010713885204314167,9.660219467785227e-17,2.0334490526520483e-16,9.482698942306844e-17,3.446958172493821e-17
77,78,9.80654,0.005999174553080119,0.39217455395374223,0.008415041414974053,0.0018492933555611653,0.00841504141497405359232247451153,0.00184929335556116546080673981482,0.0035913086463426796,0.0035913086463426796,-0.004176905807049771,9.08304315686071e-05,1.0676159882611444e-16,2.0614556606815653e-16,5.72442120959278e-17,6.980436854983751e-17
78,79,9.8165211,0.005851771931488607,0.38219345395374305,0.00830019438598693,0.0018957699333642373,0.00830019438598692957644055330893,0.00189576993336423690663638939724,0.00362804361020266,0.00362804361020266,-0.004089030651218547,7.384524298620376e-05,2.0796087316518622e-16,0.0,1.8165056173139586e-16,1.0296812600317789e-16
