model,time_index,direction_index,frequency_residual_normalized,direction_residual_normalized
Bianchi_VI_minus_1_over_9_exceptional,150,20,0.0,4.435347407354851e-12
Bianchi_VI_minus_1_over_9_exceptional,150,24,0.0,4.512649394669922e-12
Bianchi_VI_minus_1_over_9_exceptional,180,0,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,180,1,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,180,6,2.7755575615628914e-17,2.3324852898304558e-12
Bianchi_VI_minus_1_over_9_exceptional,180,8,2.220446049250313e-16,4.539536721994858e-12
Bianchi_VI_minus_1_over_9_exceptional,180,9,2.7755575615628914e-17,1.930742702827485e-12
Bianchi_VI_minus_1_over_9_exceptional,180,16,2.220446049250313e-16,3.6363864940775965e-12
Bianchi_VI_minus_1_over_9_exceptional,180,20,0.0,5.484179220312717e-12
Bianchi_VI_minus_1_over_9_exceptional,180,24,0.0,2.4608163805003297e-12
Bianchi_VI_minus_1_over_9_exceptional,210,0,0.0,0.0
Bianchi_VI_minus_1_over_9_exceptional,210,1,0.0,0.0
Bianchi_VI_minus_1_over_9_exceptional,210,6,1.1102230246251565e-16,3.3684396972379934e-12
Bianchi_VI_minus_1_over_9_exceptional,210,8,1.1102230246251565e-16,2.3769237212140045e-12
Bianchi_VI_minus_1_over_9_exceptional,210,9,1.1102230246251565e-16,2.9130001725078966e-12
Bianchi_VI_minus_1_over_9_exceptional,210,16,2.220446049250313e-16,6.134289662786332e-12
Bianchi_VI_minus_1_over_9_exceptional,210,20,2.220446049250313e-16,5.3268307545713655e-12
Bianchi_VI_minus_1_over_9_exceptional,210,24,2.220446049250313e-16,3.263354557513627e-12
Bianchi_VI_minus_1_over_9_exceptional,240,0,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,240,1,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,240,6,0.0,6.284815875461928e-12
Bianchi_VI_minus_1_over_9_exceptional,240,8,5.551115123125783e-17,5.564146042918708e-12
Bianchi_VI_minus_1_over_9_exceptional,240,9,0.0,8.796796270666628e-12
Bianchi_VI_minus_1_over_9_exceptional,240,16,0.0,2.347164847486209e-12
Bianchi_VI_minus_1_over_9_exceptional,240,20,0.0,3.2937535034181734e-12
Bianchi_VI_minus_1_over_9_exceptional,240,24,0.0,2.5308418091106343e-12
