event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
21,0.26638742204962307,2822914242728292.5,3007513123179424.5,3007513063305526.0,-0.5025955494633652,2.871348898124634e-18,4.977280596401743e-16,4.977280596401743e-16,4.636507688359277e-69,4.636507688359277e-69,2.6968012472057586e-16,0.0,3.614295267675019e-17,0.0
22,0.5525074311092165,1588246767378466.2,2769631237462315.0,2769631214839234.0,0.330535622200105,3.074189443539149e-17,1.659093532133914e-16,0.0,0.0,1.8546030753437107e-68,1.0839108560100846e-16,0.0,1.77951328075565e-17,0.0
23,0.21477339367232942,1976454715832967.0,2298913946118827.5,2298913920274445.5,-0.11004438259167519,1.3891982491354808e-17,0.0,0.0,4.636507688359277e-69,0.0,2.0986816751591513e-16,0.0,6.834493598388201e-18,0.0
24,0.2933775247102714,2614159811292890.0,2755790872040526.5,2755790831151770.5,-0.22216826801902734,1.7022695498140553e-17,1.659093532133914e-16,1.659093532133914e-16,9.273015376718553e-69,4.636507688359277e-69,8.780477795058896e-17,0.0,2.2270196369879698e-17,0.0
25,0.14176794841731,1674487161737164.0,1923042047992395.5,1923042033727181.8,0.12437058826851222,4.3948580113272335e-17,0.0,0.0,2.3182538441796384e-69,4.636507688359277e-69,4.774013590644115e-16,0.0,2.7734917587132157e-18,0.0
26,0.36686485579988026,2497842729826907.0,3238555977655784.5,3238555889658158.0,-0.9045297820095404,6.48942466498742e-18,1.659093532133914e-16,1.659093532133914e-16,4.636507688359277e-69,0.0,2.1118037424244954e-16,0.0,1.364046337282776e-17,0.0
27,0.0865241178242124,2659440186907832.5,2643496257612072.5,2643496218888369.0,-0.25787969695619817,1.5353158115803608e-17,1.659093532133914e-16,0.0,0.0,9.273015376718553e-69,3.584714770297988e-16,0.0,2.7300860707219777e-17,0.0
28,0.30869375737027327,2859287043622047.5,2406953373301223.0,2406953336845804.0,-0.4283885609244027,1.6104298289155987e-17,1.659093532133914e-16,1.659093532133914e-16,1.390952306507783e-68,4.636507688359277e-69,1.390442883737533e-16,0.0,2.0248871693851346e-17,0.0
29,0.41167491754450625,2983889414183903.5,2646414507354499.5,2646414463765370.5,-0.4128045064488373,3.11643358470163e-17,0.0,1.659093532133914e-16,9.273015376718553e-69,9.273015376718553e-69,6.450358146762653e-17,0.0,1.3751941473807624e-17,0.0
30,0.34137629195609137,2418102329721323.5,2663187630525852.0,2663187588713440.5,-0.33820088607523735,1.1099090107966343e-17,1.659093532133914e-16,1.659093532133914e-16,4.636507688359277e-69,0.0,4.997962890439533e-16,0.0,3.140375308393542e-17,0.0
31,0.2873795115390786,2942180821318720.0,3329090558300708.0,3329090540182361.0,0.6289034095651672,1.8639822160929665e-17,3.318187064267828e-16,3.318187064267828e-16,9.273015376718553e-69,9.273015376718553e-69,1.744479718568594e-16,0.0,6.545231488637002e-18,0.0
32,0.11580368080001441,2562474320156223.0,2761511687916407.0,2761511643996489.5,-0.3073364370560118,4.3216158309335794e-17,1.659093532133914e-16,1.659093532133914e-16,4.636507688359277e-69,9.273015376718553e-69,3.381412806016066e-16,0.0,9.481377682634911e-18,0.0
33,0.06915168592034311,4329364151939852.5,4170245279298958.5,4170245172673379.0,-0.3917391122023902,2.4123778725907415e-18,3.318187064267828e-16,3.318187064267828e-16,1.8546030753437107e-68,3.7092061506874214e-68,2.448513509946469e-16,0.0,1.5930838685212395e-17,0.0
34,0.5643057772243225,3817117766506480.0,4592950918432215.0,4592950799862186.0,-0.2758832692629363,1.774571234420367e-17,0.0,0.0,0.0,0.0,2.7059965426636844e-16,0.0,2.283997322249631e-17,0.0
35,0.3698199040344464,2934867629209403.5,2290813776629708.5,2290813749723688.0,-0.16382993453601685,3.3541269642813475e-17,0.0,1.659093532133914e-16,9.273015376718553e-69,1.8546030753437107e-68,1.8026492662073435e-16,0.0,4.804670351123805e-18,0.0
36,0.31511659544175447,2874496573150608.5,2320305270291885.5,2320305223775573.5,-0.9612576215805497,2.1896696649384982e-17,0.0,3.318187064267828e-16,9.273015376718553e-69,0.0,6.237927121672275e-16,0.0,2.220581909068725e-17,0.0
37,0.15152504455596158,4629950457251874.0,5209091571137052.0,5209091418626182.0,-0.2758406688500351,3.745283991967052e-18,0.0,1.659093532133914e-16,1.8546030753437107e-68,1.8546030753437107e-68,2.0440824030373176e-16,0.0,3.531371912332747e-17,0.0
38,0.07874167987617536,4130336890054234.0,4416796685692145.0,4416796603084514.5,0.038775185878367015,8.221204528736667e-18,3.318187064267828e-16,4.977280596401743e-16,1.8546030753437107e-68,0.0,2.5205514100033315e-16,0.0,2.0016496144368522e-17,0.0
39,0.5014300426443158,4030444428416771.0,4309356110597729.5,4309356060487937.5,0.3874839814374229,3.955798247545894e-17,0.0,3.318187064267828e-16,9.273015376718553e-69,0.0,4.187560522109391e-16,0.0,2.5447971414872226e-17,0.0
40,0.3007610383000806,2057049773337575.2,2421627401268676.0,2421627370342162.0,-0.1971151964605487,1.2571361326870708e-17,0.0,0.0,2.3182538441796384e-69,9.273015376718553e-69,2.952259321328188e-16,0.0,5.4741223600471975e-18,0.0
41,0.17146978586334186,4856402452549512.0,4213333365802450.0,4213333324601807.0,0.4731682154635507,8.217762346318155e-18,1.659093532133914e-16,1.659093532133914e-16,1.8546030753437107e-68,0.0,1.437495451948269e-16,0.0,5.834300600234566e-18,0.0
42,0.09294329691983783,2656453864540670.0,2511031088971469.0,2511031045713190.0,-0.5573444492381393,4.540909107988803e-17,3.318187064267828e-16,3.318187064267828e-16,4.636507688359277e-69,4.636507688359277e-69,8.640681655414896e-17,0.0,3.8743534983106015e-18,0.0
43,0.14151782905495439,1756200841291177.0,1728626989607283.2,1728626964735588.2,-0.8893935414921696,8.190626552533158e-18,3.318187064267828e-16,4.977280596401743e-16,2.3182538441796384e-69,2.3182538441796384e-69,3.825878075959607e-16,0.0,8.892244517072207e-18,0.0
44,0.07199520554609744,1617982539246068.5,1561677100573495.2,1561677099382624.5,0.8891586440832082,3.263374934855295e-17,3.318187064267828e-16,1.659093532133914e-16,2.3182538441796384e-69,4.636507688359277e-69,3.191971244609264e-16,0.0,3.918369130207837e-18,0.0
45,0.23845888945033258,1457969714909409.5,1234710942576676.2,1234710939714041.0,0.5737592030660421,2.4549926265308823e-17,0.0,0.0,0.0,1.1591269220898192e-69,1.1304953043371826e-16,0.0,2.9529669735143754e-17,0.0
