exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
5,red,-4.75,-4.25,2,-3.25,-2.75,1.8290359122644456e-06,-6.038723141646801e-07,9.681559131081585e-09,-3.3802997449822243e-37,-1.325963339501176e-32
5,red,-4.75,-4.25,3,-2.75,-2.25,1.046830974254154e-06,-4.889877719091658e-07,7.777155162399249e-08,-2.5960239963100674e-37,-8.370438401713587e-33
5,red,-4.75,-4.25,4,-2.25,-1.75,5.571050003939031e-07,-3.1500131156002493e-07,8.827342443293962e-08,-1.7326064893437414e-37,-4.753134285133702e-33
5,red,-4.75,-4.25,5,-1.75,-1.25,2.726982814673745e-07,-1.7392942104593276e-07,6.600587587381913e-08,-1.0196822862914947e-37,-2.434213830452105e-33
5,red,-4.75,-4.25,6,-1.25,-0.75,1.2215777751673818e-07,-8.459330812905071e-08,3.8962153643618e-08,-5.33579913287144e-38,-1.1268426923665004e-33
5,red,-4.75,-4.25,7,-0.75,-0.25,5.00322562270107e-08,-3.674013564255221e-08,1.9351384637846027e-08,-2.4998201821141665e-38,-4.729328796047184e-34
5,red,-4.75,-4.25,8,-0.25,0.25,1.879394814205677e-08,-1.4385346935284639e-08,8.334783819827497e-09,-1.0571022733400788e-38,-1.8083712027017668e-34
5,red,-4.75,-4.25,9,0.25,0.75,6.541418286688463e-09,-5.130532931899949e-09,3.161487318288904e-09,-4.0901686105732886e-39,-6.361601936050387e-35
5,red,-4.75,-4.25,10,0.75,1.25,2.173455500165661e-09,-1.7003079468260518e-09,1.0597656761237098e-09,-1.495394703283795e-39,-2.1113442162024588e-35
5,red,-4.75,-4.25,11,1.25,1.75,7.525240151022937e-10,-5.565889885633901e-10,3.0964286847482866e-10,-5.649439640915624e-40,-7.135211427197655e-36
5,red,-4.75,-4.25,12,1.75,2.25,3.3161593339388246e-10,-2.182416678617205e-10,7.890581985495209e-11,-2.6981553993992654e-40,-2.9969872099436045e-36
5,red,-4.75,-4.25,13,2.25,2.75,2.229514709460749e-10,-1.3965995149570444e-10,3.0507724661139974e-11,-1.955661461810518e-40,-1.976424568867017e-36
5,red,-4.75,-4.25,14,2.75,3.25,2.0637267719280005e-10,-1.4117725109859281e-10,4.689604163856952e-11,-1.9421857499625023e-40,-1.894338670537063e-36
5,red,-4.75,-4.25,15,3.25,3.75,2.1707706773856673e-10,-1.6928930515668238e-10,9.315384555432499e-11,-2.1818227505479708e-40,-2.105912103716914e-36
