virtual_index,energy_eV,frequency_Hz,x,Aup_sInv,Adn_sInv,raw_Gamma_sInv,raw_M1_Hz_sInv,raw_M2_Hz2_sInv,raw_M3_Hz3_sInv,raw_M4_Hz4_sInv,detailed_balance_abs_residual,production_use
153,10.226427,2472739047096674.0,115.27583891618023,1.1642830793767387,1.6880455355162969,2.8523286148930356,-349791803361.8342,1.758614857939224e+24,-1.3933152661541874e+35,1.0876773516437129e+48,3.3881317890172014e-21,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
154,10.229782,2473550282487393.5,129.2930778740706,0.9578092956182407,1.1794912717142416,2.137300567332482,-136990771897.46216,1.4779957729837695e+24,-2.9010362912007872e+34,1.0250102684684006e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
155,10.233322,2474406250679091.5,144.08324953157518,0.6698584039213771,0.9710150900945601,1.640873494015937,-227977872456.33154,1.2545839556731557e+24,-1.1989953705957918e+35,9.616542341394187e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
156,10.237046,2475306709872844.0,159.642175874105,0.5858364189969287,0.6795775883202279,1.2654140073171565,-58203993813.32776,1.0743988659991281e+24,-1.4769455297794187e+33,9.143621359713256e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
157,10.240955,2476251901867575.0,175.974034916249,0.4045401028482868,0.5947619682633126,0.9993020711115994,-161895607227.7129,9.273954364641665e+23,-1.1037018930180625e+35,8.624274547748196e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
158,10.245047,2477241343065436.5,193.07047062882936,0.37761142059105235,0.4109943297577085,0.7886057503487609,-16138809109.638489,8.062223383943145e+23,1.955047661739279e+34,8.258450706394068e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
159,10.249324,2478275517064276.0,210.93983904101523,0.25326641940804706,0.3839106468424116,0.6371770662504587,-123779546777.04977,7.054107387113149e+23,-1.0655541768515604e+35,7.823148091403443e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
160,10.253786,2479354423864094.5,229.58214015282394,0.25437392954954935,0.25767568077816666,0.512049610327716,7693561827.75,6.208322430203273e+23,3.6794241374566987e+34,7.53940614127385e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
161,10.258431,2480477579867043.0,248.9890179350604,0.16321807458177412,0.25898573680958586,0.42220381139136,-100260823073.15063,5.493287937257532e+23,-1.0694124367523797e+35,7.157825095484509e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
162,10.263261,2481645468670970.0,269.16882841691097,0.17792726717976917,0.16629618418642783,0.34422345136619703,21542996636.870087,4.884554073583287e+23,5.235932537979774e+34,6.940962419947867e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
163,10.268276,2482858090275875.5,290.1215715983758,0.1073226003138365,0.18141255004207033,0.2887351503559068,-85094134205.09196,4.362984059838633e+23,-1.1038685316283887e+35,6.600816644964916e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
164,10.273474,2484114961083911.0,311.83889145026825,0.1288418645829185,0.10950234820387857,0.23834421278679707,30101884888.71295,3.913448934898917e+23,6.6854834004125055e+34,6.433454344144494e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
