physics_orbit_id,frequency_i,frequency_j,mu,branch,log_low,log_high,relative_low_high
3159,9,27,0.7071067811865475,GL16_20,-1.2747661252990081,-1.2747661234446817,-1.8543264684327824e-09
3160,9,27,0.816496580927726,GL16_20,-88.68447417471432,-88.68447198604032,-2.1886716077779095e-06
3162,9,28,-1.0,back_uv64_96,116.32745891435825,116.32745891435854,-2.9842794901919755e-13
3163,9,28,-0.816496580927726,GL16_20,113.43720703029045,113.43720703029942,-8.96704932525226e-12
3164,9,28,-0.7071067811865475,GL16_20,111.42183682032238,111.42183682033222,-9.833911462871434e-12
3165,9,28,-0.5773502691896258,GL16_20,108.67279492261389,108.67279492262492,-1.102762325893595e-11
3166,9,28,-0.5,GL16_20,106.81028514857236,106.81028514858416,-1.1795009413548102e-11
3167,9,28,-0.3333333333333333,GL16_20,102.0712238743738,102.0712238743875,-1.3699263945360897e-11
3168,9,28,0.0,GL16_20,87.91699595105561,87.91699595107434,-1.8729906514460837e-11
3169,9,28,0.3333333333333333,GL16_20,59.83019060786086,59.83019060790548,-4.462208380473873e-11
3170,9,28,0.5,GL16_20,31.949047009270686,31.949047013528308,-4.257621801602352e-09
