target_i,source_j,x_i,x_j,conductance_m^-3_s^-1,K_i_from_j_s^-1,K_j_from_i_s^-1,pair_balance_relative,relative_to_Hummer_i_from_j,relative_to_v033_i_from_j
2,15,-3.0,3.5,6.554625920234383e-07,5.444174837552569e-07,5.413161619304186e-07,0.0,0.0016100772427993792,-0.0012468770132421092
2,16,-3.0,4.0,1.4305034993627527e-08,1.18867719236571e-08,1.181386509812277e-08,5.782443824300412e-17,0.0025553459327731787,-0.000523940483667773
3,4,-2.5,-2.0,0.00029007292528900205,0.0002397684188247136,0.00023966307561175821,0.0,-7.29516487208981e-05,-0.00029263673758139763
3,5,-2.5,-1.5,0.00024569412874610473,0.00020317506815521914,0.00020299657576237535,0.0,0.0003323411845834734,-0.00010715895667101627
3,6,-2.5,-1.0,0.0002142019787745989,0.00017721070989178223,0.00017697723765187025,0.0,0.0007610885075448603,0.00010162796723278689
3,7,-2.5,-0.5,0.00019478990599289042,0.00016122180761826214,0.00016093866024162636,0.0,0.0012172412264248589,0.0003376560829395636
3,8,-2.5,0.0,0.00018708779265957763,0.00015491506037327383,0.00015457504609758663,0.0,0.001698953096533895,0.0005990631477019726
3,9,-2.5,0.5,0.00019087004001515495,0.00015811635919484347,0.00015770000177229836,0.0,0.0021955217773554914,0.0008751441783207969
3,10,-2.5,1.0,0.0002059355154653235,0.00017067155442129103,0.00017014734817094457,0.0,0.0026916026999241893,0.0011505684470514144
3,11,-2.5,1.5,0.000232066643885493,0.00019241258142128095,0.00019173732110669547,5.839928965731039e-17,0.003174980941791139,0.001413142870769546
3,12,-2.5,2.0,0.0002688682156670718,0.00022302372306799655,0.0002221433918274725,0.0,0.0036372363922361206,0.0016544723954192708
3,13,-2.5,2.5,0.00017769158343325454,0.0001474583282382565,0.0001468117417491075,0.0,0.002197400906538194,-2.2687421995515322e-06
3,14,-2.5,3.0,1.6802789453477257e-05,1.3950015371040512e-05,1.388274412465428e-05,0.0,0.0008735069880341229,-0.0015426686954330693
3,15,-2.5,3.5,5.828355676737356e-07,4.840945571225757e-07,4.815484402256571e-07,9.083103732788783e-17,0.0016040863320032628,-0.001033376867079161
3,16,-2.5,4.0,1.3204976344835201e-08,1.0972677951383293e-08,1.0910171092426691e-08,0.0,0.0025525546036795355,-0.00030708970463511065
4,5,-2.0,-1.5,0.002718096766752845,0.0022477114070893135,0.002246723865481717,0.0,0.00022980284704932075,1.0051081089423874e-05
4,6,-2.0,-1.0,0.002313383922006545,0.001913877777489653,0.0019121964056500454,0.0,0.0006601043921639071,0.00022045994796093815
4,7,-2.0,-0.5,0.002069754469608939,0.0017130741719671543,0.0017108172230796425,0.0,0.001124827362975811,0.0004651267118045421
